"Day 1","09/06/2018 00:00","09/07/2018 00:00","24:00"
"Day 2","09/07/2018 00:00","09/08/2018 00:00","24:00"
"Day 3","09/12/2018 00:00","09/13/2018 00:00","24:00"
"Day 4","09/13/2018 00:00","09/14/2018 00:00","24:00"
"Day 5","09/14/2018 00:00","09/15/2018 00:00","24:00"
"Day 6","09/17/2018 00:00","09/18/2018 00:00","24:00"
"Day 1","09/18/2018 00:00","09/19/2018 00:00","24:00"
"Day 2","09/20/2018 00:00","09/21/2018 00:00","24:00"
"Day 3","09/21/2018 00:00","09/22/2018 00:00","24:00"
"Day 4","09/24/2018 00:00","09/25/2018 00:00","24:00"
"Day 5","09/25/2018 00:00","09/26/2018 00:00","24:00"
"Day 6","09/26/2018 00:00","09/27/2018 00:00","24:00"
"Day 1","09/27/2018 00:00","09/28/2018 00:00","24:00"
"Day 2","09/28/2018 00:00","09/29/2018 00:00","24:00"
"Day 3","10/01/2018 00:00","10/02/2018 00:00","24:00"
"Day 4","10/02/2018 00:00","10/03/2018 00:00","24:00"
"Day 5","10/03/2018 00:00","10/04/2018 00:00","24:00"
"Day 6","10/04/2018 00:00","10/05/2018 00:00","24:00"
"Day 1","10/05/2018 00:00","10/06/2018 00:00","24:00"
"Day 2","10/09/2018 00:00","10/10/2018 00:00","24:00"
"Day 3","10/10/2018 00:00","10/11/2018 00:00","24:00"
"Day 4","10/11/2018 00:00","10/12/2018 00:00","24:00"
"Day 5","10/12/2018 00:00","10/13/2018 00:00","24:00"
"Day 6","10/15/2018 00:00","10/16/2018 00:00","24:00"
"Day 1","10/16/2018 00:00","10/17/2018 00:00","24:00"
"Day 2","10/17/2018 00:00","10/18/2018 00:00","24:00"
"Day 3","10/18/2018 00:00","10/19/2018 00:00","24:00"
"Day 4","10/19/2018 00:00","10/20/2018 00:00","24:00"
"Day 5","10/22/2018 00:00","10/23/2018 00:00","24:00"
"Day 6","10/23/2018 00:00","10/24/2018 00:00","24:00"
"Day 1","10/24/2018 00:00","10/25/2018 00:00","24:00"
"Day 2","10/25/2018 00:00","10/26/2018 00:00","24:00"
"Day 3","10/26/2018 00:00","10/27/2018 00:00","24:00"
"Day 4","10/29/2018 00:00","10/30/2018 00:00","24:00"
"Day 5","10/30/2018 00:00","10/31/2018 00:00","24:00"
"Day 6","10/31/2018 00:00","11/01/2018 00:00","24:00"
"Day 1","11/01/2018 00:00","11/02/2018 00:00","24:00"
